Order Detail ID,Sales,Quantity,Discount,Profit,Profit Margin,Cost of Goods Sold,Cost of Sales,Other Expenses
0,261.96,2,0.0,41.9136,0.16000000000000003,146.69759999999997,36.67439999999999,36.67439999999999
1,731.9399999999999,3,0.0,219.58199999999997,0.3,341.57199999999995,85.39299999999999,85.39299999999999
2,14.62,2,0.0,6.8713999999999995,0.47,5.165733333333333,1.2914333333333332,1.2914333333333332
3,957.5775,5,0.45,-383.03100000000006,-0.4000000000000001,1181.01225,295.2530625,295.2530625
4,22.368000000000002,2,0.2,2.516399999999999,0.11249999999999995,16.216800000000003,4.054200000000001,4.054200000000001
5,48.86,7,0.0,14.169399999999996,0.2899999999999999,23.127066666666668,5.781766666666667,5.781766666666667
6,7.28,4,0.0,1.9656000000000002,0.27,3.542933333333333,0.8857333333333333,0.8857333333333333
7,907.152,6,0.2,90.71520000000004,0.10000000000000003,665.2448,166.3112,166.3112
8,18.504,3,0.2,5.7825,0.31249999999999994,10.948200000000002,2.7370500000000004,2.7370500000000004
9,114.9,5,0.0,34.46999999999999,0.29999999999999993,53.62000000000001,13.405000000000003,13.405000000000003
10,1706.1840000000002,9,0.2,85.3091999999998,0.04999999999999988,1308.0744000000002,327.01860000000005,327.01860000000005
11,911.424,4,0.2,68.35680000000002,0.07500000000000002,683.568,170.892,170.892
12,15.552000000000003,3,0.2,5.4432,0.3499999999999999,8.812800000000003,2.2032000000000007,2.2032000000000007
13,407.97600000000006,3,0.2,132.59219999999993,0.3249999999999998,237.9860000000001,59.496500000000026,59.496500000000026
14,68.80999999999999,5,0.8,-123.858,-1.8000000000000003,165.144,41.286,41.286
15,2.5439999999999996,3,0.8,-3.8160000000000016,-1.5000000000000009,5.596800000000001,1.3992000000000002,1.3992000000000002
16,665.88,6,0.0,13.317599999999999,0.019999999999999997,435.0416,108.7604,108.7604
17,55.5,2,0.0,9.989999999999995,0.1799999999999999,30.340000000000003,7.585000000000001,7.585000000000001
18,8.56,2,0.0,2.4823999999999993,0.2899999999999999,4.051733333333334,1.0129333333333335,1.0129333333333335
19,213.48000000000002,3,0.2,16.01099999999998,0.0749999999999999,160.11,40.0275,40.0275
20,22.72,4,0.2,7.383999999999999,0.32499999999999996,13.253333333333334,3.3133333333333335,3.3133333333333335
21,19.459999999999997,7,0.0,5.0596,0.26,9.600266666666666,2.4000666666666666,2.4000666666666666
22,60.339999999999996,7,0.0,15.688400000000001,0.26000000000000006,29.767733333333332,7.441933333333333,7.441933333333333
23,71.37199999999999,2,0.3,-1.0196000000000005,-0.014285714285714296,62.53546666666665,15.633866666666663,15.633866666666663
24,1044.6299999999999,3,0.0,240.2649,0.23000000000000004,536.2434,134.06085,134.06085
25,11.648000000000001,2,0.2,4.2224,0.3625,6.503466666666668,1.625866666666667,1.625866666666667
26,90.57000000000001,3,0.0,11.774100000000004,0.13000000000000003,52.5306,13.13265,13.13265
27,3083.4300000000003,7,0.5,-1665.0522,-0.5399999999999999,4193.464800000001,1048.3662000000002,1048.3662000000002
28,9.618000000000002,2,0.7,-7.0532,-0.7333333333333332,15.602533333333335,3.900633333333334,3.900633333333334
29,124.20000000000002,3,0.2,15.524999999999991,0.12499999999999992,89.01000000000003,22.25250000000001,22.25250000000001
30,3.2640000000000002,2,0.2,1.1015999999999997,0.33749999999999986,1.8768000000000002,0.46920000000000006,0.46920000000000006
31,86.304,6,0.2,9.709199999999989,0.11249999999999986,62.57040000000001,15.642600000000002,15.642600000000002
32,6.858000000000001,6,0.7,-5.715,-0.8333333333333331,11.582400000000002,2.8956000000000004,2.8956000000000004
33,15.76,2,0.2,3.5460000000000007,0.22500000000000006,10.244,2.561,2.561
34,29.472,3,0.2,9.946799999999998,0.3374999999999999,16.946400000000004,4.236600000000001,4.236600000000001
35,1097.5440000000003,7,0.2,123.4736999999999,0.11249999999999986,795.7194000000003,198.92985000000007,198.92985000000007
36,190.92,5,0.6,-147.96300000000002,-0.7750000000000001,302.28999999999996,75.57249999999999,75.57249999999999
37,113.328,9,0.2,35.415,0.3125,67.0524,16.7631,16.7631
38,532.3992,3,0.32,-46.97640000000001,-0.08823529411764709,499.828896,124.957224,124.957224
39,212.058,3,0.3,-15.146999999999991,-0.0714285714285714,193.8816,48.4704,48.4704
40,371.168,4,0.2,41.75639999999996,0.11249999999999988,269.09680000000003,67.27420000000001,67.27420000000001
41,147.168,4,0.2,16.556399999999996,0.11249999999999998,106.69680000000002,26.674200000000006,26.674200000000006
42,77.88,2,0.0,3.8939999999999912,0.04999999999999989,49.324000000000005,12.331000000000001,12.331000000000001
43,95.616,2,0.2,9.56160000000001,0.1000000000000001,70.1184,17.5296,17.5296
44,45.98,2,0.0,19.7714,0.43000000000000005,17.472399999999997,4.368099999999999,4.368099999999999
45,17.46,2,0.0,8.206199999999999,0.4699999999999999,6.1692,1.5423,1.5423
46,211.96,4,0.0,8.478399999999993,0.039999999999999966,135.6544,33.9136,33.9136
47,45.0,3,0.0,4.950000000000001,0.11000000000000003,26.700000000000003,6.675000000000001,6.675000000000001
48,21.8,2,0.0,6.104000000000001,0.28,10.464,2.616,2.616
49,38.22,6,0.0,17.9634,0.47000000000000003,13.5044,3.3761,3.3761
50,75.17999999999999,6,0.0,35.334599999999995,0.47,26.563599999999997,6.640899999999999,6.640899999999999
51,6.16,2,0.0,2.9568,0.48,2.135466666666667,0.5338666666666667,0.5338666666666667
52,89.99,1,0.0,17.098099999999988,0.1899999999999999,48.5946,12.14865,12.14865
53,15.260000000000002,7,0.0,6.256600000000001,0.41,6.002266666666668,1.500566666666667,1.500566666666667
54,1029.95,5,0.0,298.6855,0.29,487.5096666666667,121.87741666666668,121.87741666666668
55,208.56,6,0.0,52.139999999999986,0.24999999999999994,104.28,26.07,26.07
56,32.400000000000006,5,0.0,15.552000000000001,0.48,11.232000000000003,2.8080000000000007,2.8080000000000007
